Beaufort,2,*,*,11,6 171 €,5430 € - 6847 €
Bech,0,*,*,0,*,*
Beckerich,9,*,*,1,*,*
Berdorf,9,*,*,0,*,*
Bertrange,49,10 860 €,7987 € - 14450 €,29,13 520 €,11548 € - 18032 €
Bettembourg,55,7 740 €,5252 € - 9468 €,6,*,*
Bettendorf,6,*,*,3,*,*
Betzdorf,5,*,*,0,*,*
Bissen,23,7 455 €,4331 € - 9360 €,5,*,*
Biwer,1,*,*,0,*,*
Boulaide,3,*,*,0,*,*
Bourscheid,5,*,*,0,*,*
Bous,8,*,*,0,*,*
Clervaux,24,5 638 €,4716 € - 7498 €,7,*,*
Colmar-Berg,15,6 649 €,4940 € - 7912 €,9,*,*
Consdorf,2,*,*,1,*,*
Contern,18,8 382 €,5507 € - 11127 €,2,*,*
Dalheim,4,*,*,0,*,*
Diekirch,33,7 376 €,3968 € - 10113 €,3,*,*
Differdange,278,7 292 €,4575 € - 9886 €,71,7 675 €,6407 € - 9437 €
Dippach,23,7 970 €,6706 € - 9528 €,0,*,*
Dudelange,142,7 498 €,5114 € - 10059 €,29,8 005 €,6025 € - 9514 €
Echternach,29,5 684 €,3662 € - 7203 €,20,7 319 €,6266 € - 8584 €
Ell,7,*,*,5,*,*
Erpeldange-sur-Sûre,11,7 311 €,4134 € - 9689 €,60,8 297 €,7199 € - 10187 €
Esch-sur-Alzette,290,7 198 €,4497 € - 9986 €,16,8 887 €,6153 € - 10473 €
Esch-sur-Sûre,5,*,*,7,*,*
Ettelbruck,84,6 907 €,4198 € - 9259 €,27,7 330 €,6030 € - 8578 €
Feulen,7,*,*,6,*,*
Fischbach,2,*,*,0,*,*
Flaxweiler,1,*,*,0,*,*
Frisange,21,7 642 €,6232 € - 9433 €,6,*,*
Garnich,2,*,*,0,*,*
Goesdorf,7,*,*,0,*,*
Grevenmacher,32,7 392 €,5402 € - 9923 €,0,*,*
Grosbous,2,*,*,10,6 001 €,5018 € - 6838 €
Habscht,28,6 951 €,4799 € - 9776 €,10,7 065 €,5877 € - 8267 €
Heffingen,4,*,*,0,*,*
Helperknapp,11,7 342 €,5661 € - 8907 €,3,*,*
Hesperange,107,9 262 €,6422 € - 11643 €,48,10 522 €,9570 € - 11923 €
Junglinster,19,7 973 €,3821 € - 10719 €,6,*,*
Käerjeng,56,7 580 €,5296 € - 10345 €,23,7 748 €,6579 € - 8489 €
Kayl,78,7 578 €,4776 € - 9439 €,11,8 099 €,6182 € - 9743 €
Kehlen,21,8 350 €,5798 € - 10532 €,3,*,*
Kiischpelt,2,*,*,3,*,*
Koerich,7,*,*,1,*,*
Kopstal,10,9 169 €,7626 € - 10799 €,18,10 934 €,6948 € - 12321 €
Lac de la Haute-Sûre,4,*,*,8,*,*
Larochette,16,6 627 €,5030 € - 8229 €,0,*,*
Lenningen,4,*,*,0,*,*
Leudelange,16,9 341 €,6403 € - 12530 €,0,*,*
Lintgen,24,8 195 €,6042 € - 9990 €,3,*,*
Lorentzweiler,16,7 746 €,3589 € - 11071 €,40,8 695 €,7414 € - 10525 €
Luxembourg-Ville,675,11 413 €,7868 € - 14807 €,161,13 829 €,10119 € - 17431 €
Mamer,41,7 958 €,4728 € - 10286 €,46,8 856 €,7839 € - 10434 €
Manternach,2,*,*,7,*,*
Mersch,40,7 935 €,5892 € - 9717 €,14,8 644 €,6483 € - 10667 €
Mertert,26,7 052 €,4726 € - 9512 €,113,7 211 €,5815 € - 9294 €
Mertzig,3,*,*,0,*,*
Mondercange,27,7 805 €,5340 € - 9651 €,5,*,*
Mondorf-les-Bains,52,7 880 €,4764 € - 10731 €,0,*,*
Niederanven,4,*,*,7,*,*
Nommern,2,*,*,1,*,*
Parc Hosingen,9,*,*,12,5 764 €,4965 € - 8081 €
Petange,175,7 065 €,4941 € - 9420 €,21,7 349 €,6315 € - 8996 €
Preizerdaul,4,*,*,1,*,*
Putscheid,2,*,*,0,*,*
Rambrouch,2,*,*,12,6 674 €,6166 € - 7186 €
Reckange-sur-Mess,14,7 667 €,4955 € - 9827 €,0,*,*
Redange,7,*,*,0,*,*
Reisdorf,1,*,*,0,*,*
Remich,28,7 827 €,5591 € - 10196 €,12,9 706 €,8479 € - 10999 €
Roeser,65,8 824 €,6906 € - 10424 €,28,8 397 €,5959 € - 9841 €
Rosport-Mompach,4,*,*,2,*,*
Rumelange,32,6 834 €,5124 € - 9500 €,0,*,*
Saeul,2,*,*,0,*,*
Sandweiler,13,8 341 €,6338 € - 10798 €,4,*,*
Sanem,124,7 651 €,5348 € - 9814 €,204,7 928 €,6471 € - 9335 €
Schengen,21,6 836 €,4387 € - 8382 €,0,*,*
Schieren,8,*,*,1,*,*
Schifflange,97,8 298 €,5538 € - 10514 €,4,*,*
Schuttrange,15,8 546 €,5789 € - 12536 €,8,*,*
Stadtbredimus,8,*,*,3,*,*
Steinfort,20,7 691 €,5854 € - 9789 €,18,8 444 €,7183 € - 9821 €
Steinsel,20,9 099 €,6651 € - 12012 €,70,10 456 €,8330 € - 16206 €
Strassen,63,10 312 €,6886 € - 12907 €,6,*,*
Tandel,7,*,*,0,*,*
Troisvierges,8,*,*,0,*,*
Useldange,7,*,*,0,*,*
Vallée de l'Ernz,8,*,*,0,*,*
Vianden,5,*,*,6,*,*
Vichten,1,*,*,0,*,*
Wahl,0,*,*,16,6 580 €,5531 € - 7533 €
Waldbillig,2,*,*,0,*,*
Waldbredimus,0,*,*,0,*,*
Walferdange,42,9 562 €,7667 € - 11969 €,13,12 510 €,9900 € - 15285 €
Weiler-la-Tour,10,8 448 €,5523 € - 11273 €,0,*,*
Weiswampach,26,5 387 €,3845 € - 7204 €,29,5 276 €,4566 € - 6049 €
Wiltz,30,5 419 €,3866 € - 7477 €,8,*,*
Wincrange,5,*,*,4,*,*
Winseler,10,4 847 €,3942 € - 6018 €,0,*,*
Wormeldange,9,*,*,1,*,*
